neighborhood,property_type,bedrooms,bathrooms,size_sqft,age_years,distance_to_cbd_km,has_parking,has_garden,has_pool,gated_community,security_score,price_kes
Kilimani,Maisonette,2,1,746,22,18.6,0,1,0,1,5,10922000.0
Ruaka,Townhouse,3,3,1096,24,19.1,0,0,0,0,3,6862000.0
South B,Apartment,3,3,886,6,15.5,0,0,0,1,2,8232000.0
Runda,Bungalow,3,3,1480,28,3.5,1,0,1,1,2,38485000.0
Kitisuru,Apartment,6,5,2029,7,6.9,1,0,0,1,5,45142000.0
Ruaka,Townhouse,6,5,1811,12,16.6,0,0,0,1,1,14436000.0
South B,Apartment,1,1,646,26,17.0,0,0,0,1,1,4648000.0
Ngong Road,Apartment,2,1,805,7,13.8,1,0,0,1,3,7936000.0
Karen,Bungalow,2,2,1112,18,0.9,0,1,0,1,5,26085000.0
Upperhill,Apartment,5,5,1222,18,10.4,1,0,1,0,3,23254000.0
Thika Road,Apartment,2,1,923,24,12.2,1,0,0,1,3,5184000.0
Kasarani,Apartment,2,2,767,23,16.7,1,0,0,1,2,4596000.0
Muthaiga,Apartment,2,2,826,21,17.9,0,0,0,1,2,13414000.0
Westlands,Apartment,3,2,1309,26,11.1,1,0,1,1,1,20943000.0
Loresho,Apartment,2,2,1029,18,13.2,1,0,0,1,4,13568000.0
Karen,Apartment,3,2,1147,10,1.9,1,0,1,0,4,28934000.0
Embakasi,Maisonette,3,3,1132,11,19.0,1,1,0,0,1,7503000.0
Muthaiga,Maisonette,3,2,1035,19,6.7,0,0,0,0,2,23059000.0
Runda,Bungalow,3,3,1270,20,9.3,0,0,0,1,1,29714000.0
Kikuyu,Apartment,2,1,1195,12,27.6,1,0,0,1,1,5744000.0
Buruburu,Townhouse,4,4,2084,16,16.5,0,0,0,1,5,16844000.0
Buruburu,Apartment,5,5,1493,20,18.3,0,0,0,0,1,9810000.0
Muthaiga,Apartment,3,2,1172,23,14.4,1,0,0,1,3,23162000.0
Kileleshwa,Bungalow,4,4,1511,28,5.0,1,1,0,0,1,18625000.0
Kitisuru,Maisonette,3,2,1231,22,6.9,0,1,0,1,3,31029000.0
Kahawa,Maisonette,4,4,1058,9,22.6,0,1,0,1,4,6053000.0
South B,Townhouse,1,1,856,22,22.9,0,0,0,0,2,5289000.0
Donholm,Apartment,3,2,1101,25,20.2,1,0,0,0,1,6853000.0
Nyayo Estate,Apartment,3,2,868,15,18.2,1,0,0,1,5,7285000.0
South B,Townhouse,2,2,1162,28,12.4,0,0,0,1,4,11336000.0
Karen,Apartment,3,3,1071,23,9.5,1,0,0,0,2,21608000.0
Ruiru,Maisonette,3,3,1121,0,35.7,1,0,0,1,2,4490000.0
Upperhill,Apartment,1,1,526,7,8.9,1,0,0,0,3,8096000.0
Ruaka,Apartment,5,5,1491,24,11.9,0,0,0,1,3,13011000.0
Donholm,Bungalow,2,2,1316,4,18.8,1,1,0,1,3,11257000.0
Kikuyu,Apartment,1,1,569,28,24.7,1,0,0,1,5,2689000.0
Lavington,Apartment,2,1,914,24,10.2,0,0,1,1,2,18182000.0
Upperhill,Bungalow,6,5,2482,25,3.8,0,1,0,1,2,41737000.0
Runda,Apartment,1,1,444,19,0.5,1,0,1,1,4,11578000.0
Kahawa,Apartment,4,4,1281,18,24.9,0,0,0,1,2,5314000.0
Roysambu,Apartment,2,1,883,29,26.4,1,0,0,1,1,4571000.0
